지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),합계 일조시간(hr)
98,동두천,2013-09,20.2,72,103.6,191.8
98,동두천,2013-10,13.9,68,18.2,247.8
98,동두천,2013-11,4.6,66,65.5,185.2
98,동두천,2013-12,-2.1,71,34.9,173.6
98,동두천,2014-01,-2.1,59,10.6,182.6
98,동두천,2014-02,.6,59,22.6,174.1
98,동두천,2014-03,7.1,54,7.8,224.8
98,동두천,2014-04,13.2,54,22.1,210.2
98,동두천,2014-05,17.9,56,80.8,302.5
98,동두천,2014-06,22.2,69,76.9,183.9
98,동두천,2014-07,25,74,203.8,193.7
98,동두천,2014-08,23.8,77,125.3,150.5
98,동두천,2014-09,20.5,75,93.1,204.6
98,동두천,2014-10,13.9,69,39.7,225.1
98,동두천,2014-11,7.3,66,45.3,176.6
98,동두천,2014-12,-4.2,58,13.6,189.4
98,동두천,2015-01,-2.3,61,17.3,186.5
98,동두천,2015-02,.1,61,23.4,171.1
98,동두천,2015-03,5.5,46,8.4,262.3
98,동두천,2015-04,12.7,54,82.5,212.3
98,동두천,2015-05,18.3,53,32.8,284.1
98,동두천,2015-06,22.7,60,70.1,253.3
98,동두천,2015-07,24.6,73,348.7,169.6
98,동두천,2015-08,24.8,73,120.6,210.2
98,동두천,2015-09,20.4,63,60.5,255.2
98,동두천,2015-10,13.9,65,83.1,223.5
98,동두천,2015-11,8,72,114.6,92.7
98,동두천,2015-12,.5,63,26.5,162.3
98,동두천,2016-01,-4.1,54,1.3,195.4
98,동두천,2016-02,-.4,50,47.8,184.3
